Row,Subheader,T (K),Cp° (J/mol K),S° (J/mol K),-(G°-H°(T)) (J/mol K),(H-H°(T)) (kJ/mo),∆Hf° (kJ/mol),∆Gf° (kJ/mol),Log Kf
197,14. ETHANE C<sub>2</sub>H<sub>6</sub> (g),1500,145.905,386.26,298.121,132.209,-107.26,219.404,-7.64
693,51. DIHYDROGEN H<sub>2</sub> (g),298.15,28.836,130.68,130.68,0,0,0,0
694,51. DIHYDROGEN H<sub>2</sub> (g),300,28.849,130.858,130.68,0.053,0,0,0
695,51. DIHYDROGEN H<sub>2</sub> (g),400,29.181,139.217,131.818,2.96,0,0,0
696,51. DIHYDROGEN H<sub>2</sub> (g),500,29.26,145.738,133.974,5.882,0,0,0
697,51. DIHYDROGEN H<sub>2</sub> (g),600,29.327,151.078,136.393,8.811,0,0,0
698,51. DIHYDROGEN H<sub>2</sub> (g),700,29.44,155.607,138.822,11.749,0,0,0
699,51. DIHYDROGEN H<sub>2</sub> (g),800,29.623,159.549,141.172,14.702,0,0,0
700,51. DIHYDROGEN H<sub>2</sub> (g),900,29.88,163.052,143.412,17.676,0,0,0
701,51. DIHYDROGEN H<sub>2</sub> (g),1000,30.204,166.217,145.537,20.68,0,0,0
702,51. DIHYDROGEN H<sub>2</sub> (g),1100,30.58,169.113,147.55,23.719,0,0,0
703,51. DIHYDROGEN H<sub>2</sub> (g),1200,30.991,171.791,149.46,26.797,0,0,0
704,51. DIHYDROGEN H<sub>2</sub> (g),1300,31.422,174.288,151.275,29.918,0,0,0
705,51. DIHYDROGEN H<sub>2</sub> (g),1400,31.86,176.633,153.003,33.082,0,0,0
706,51. DIHYDROGEN H<sub>2</sub> (g),1500,32.296,178.846,154.653,36.29,0,0,0
